t x y z yaw pitch roll vx vy vz wx wy wz
0.307 -4.00001 -4 2 0.75 -2.47851e-09 1.8374e-10 8.61689e-10 -2.57601e-09 -1.09419e-08 -7.0237e-08 -4.97581e-08 -3.89234e-09
0.317 -4.00001 -4 2 0.75 -2.30857e-09 -6.26723e-10 6.93707e-10 -2.71359e-09 -1.03826e-08 -8.31476e-08 -4.37797e-08 -4.06041e-09
0.327 -4.00001 -4 2 0.75 -1.94391e-09 -1.54279e-09 4.43256e-10 -2.7844e-09 -9.78726e-09 -8.08177e-08 -2.07886e-08 -3.81895e-09
0.337 -4.00001 -4 2 0.75 -1.5405e-09 -2.04725e-09 2.13052e-10 -2.76821e-09 -1.05445e-08 -6.20863e-08 8.02043e-09 -3.52658e-09
0.347 -4.00001 -4 2 0.75 -9.72438e-10 -2.15668e-09 -4.17114e-11 -2.68578e-09 -1.26963e-08 -2.48908e-08 5.04011e-08 -3.25307e-09
0.358 -4.00001 -4 2 0.75 -4.52464e-10 -1.74603e-09 -2.349e-10 -2.57791e-09 -1.3774e-08 1.05067e-08 7.68662e-08 -3.56427e-09
0.367 -4.00001 -4 2 0.75 -2.10016e-11 -9.31611e-10 -3.53891e-10 -2.47792e-09 -1.4225e-08 4.64499e-08 9.46602e-08 -4.33559e-09
0.379 -4.00001 -4 2 0.75 3.30282e-10 4.41012e-10 -3.67453e-10 -2.42214e-09 -1.3908e-08 7.29578e-08 9.85389e-08 -4.78697e-09
0.387 -4.00001 -4 2 0.75 4.61833e-10 1.38853e-09 -2.92472e-10 -2.44626e-09 -1.33757e-08 7.637e-08 8.69595e-08 -4.54989e-09
0.4 -4.00001 -4 2 0.75 5.2009e-10 2.57651e-09 -6.77936e-11 -2.57971e-09 -1.39054e-08 5.86845e-08 5.48234e-08 -4.081e-09
0.407 -4.00001 -4 2 0.75 5.02474e-10 3.01148e-09 9.60046e-11 -2.69831e-09 -1.51484e-08 3.76843e-08 2.92424e-08 -3.88903e-09
0.417 -4.00001 -4 2 0.75 4.17881e-10 3.21889e-09 3.5254e-10 -2.89543e-09 -1.67675e-08 9.09495e-09 -9.12713e-09 -3.543e-09
0.427 -4.00001 -4 2 0.75 1.90922e-10 2.95679e-09 6.23737e-10 -3.12032e-09 -1.7468e-08 -1.25306e-08 -4.88451e-08 -2.76431e-09
0.437 -4.00001 -4 2 0.75 -1.30161e-10 2.4034e-09 8.28309e-10 -3.31518e-09 -1.59104e-08 -2.23906e-08 -6.89242e-08 -2.30143e-09
0.447 -4.00001 -4 2 0.75 -4.99475e-10 1.71699e-09 9.60635e-10 -3.48604e-09 -1.3172e-08 -2.6169e-08 -7.57986e-08 -2.04094e-09
0.457 -4.00001 -4 2 0.75 -8.56329e-10 1.04774e-09 1.00546e-09 -3.62696e-09 -1.10621e-08 -2.24358e-08 -6.61041e-08 -1.61103e-09
0.467 -4.00001 -4 2 0.75 -1.13565e-09 5.41893e-10 9.8544e-10 -3.74165e-09 -9.70337e-09 -1.3576e-08 -4.40958e-08 -1.09694e-09
0.477 -4.00001 -4 2 0.75 -1.28503e-09 3.07053e-10 9.25331e-10 -3.83367e-09 -8.96715e-09 -2.84861e-09 -1.79431e-08 -4.07919e-10
0.487 -4.00001 -4 2 0.75 -1.31277e-09 3.64889e-10 8.47914e-10 -3.9486e-09 -8.51772e-09 1.27188e-08 1.91012e-08 6.09635e-10
0.497 -4.00001 -4 2 0.75 -1.18243e-09 7.55804e-10 7.86831e-10 -4.06256e-09 -7.4365e-09 2.41816e-08 4.70292e-08 1.34607e-09
0.507 -4.00001 -4 2 0.75 -9.67828e-10 1.32967e-09 7.69013e-10 -4.20013e-09 -4.79269e-09 2.90906e-08 5.94364e-08 1.62217e-09
0.517 -4.00001 -4 2 0.75 -7.40198e-10 1.85792e-09 8.10111e-10 -4.34839e-09 -3.44001e-09 2.05221e-08 5.51092e-08 1.66415e-09
0.527 -4.00001 -4 2 0.75 -4.4191e-10 2.22633e-09 9.20376e-10 -4.55727e-09 -3.90971e-09 -7.89047e-09 2.97526e-08 1.74834e-09
0.537 -4.00001 -4 2 0.75 -1.99146e-10 2.16558e-09 1.0711e-09 -4.74618e-09 -4.31138e-09 -3.06161e-08 1.84972e-10 2.21116e-09
0.549 -4.00001 -4 2 0.75 -4.34355e-11 1.69164e-09 1.22046e-09 -4.91199e-09 -4.39593e-09 -4.93044e-08 -3.52722e-08 3.0097e-09
0.557 -4.00001 -4 2 0.75 -1.60312e-11 1.12191e-09 1.30204e-09 -4.99519e-09 -3.32806e-09 -5.77071e-08 -5.28243e-08 3.34627e-09
0.568 -4.00001 -4 2 0.75 -3.7841e-11 1.86085e-10 1.35898e-09 -5.04715e-09 -3.13861e-10 -6.29525e-08 -6.36479e-08 3.54616e-09
0.585 -4.00001 -4 2 0.75 -1.29229e-10 -1.17604e-09 1.30629e-09 -4.98517e-09 1.78165e-09 -3.93678e-08 -4.51065e-08 3.72336e-09
0.587 -4.00001 -4 2 0.75 -1.41701e-10 -1.28331e-09 1.28795e-09 -4.9672e-09 1.63781e-09 -3.34948e-08 -3.97573e-08 3.73278e-09
0.597 -4.00001 -4 2 0.75 -2.13061e-10 -1.54166e-09 1.15773e-09 -4.84749e-09 -1.1364e-10 5.92275e-09 -3.52639e-09 3.75687e-09
0.607 -4.00001 -4 2 0.75 -2.79415e-10 -1.31876e-09 1.03602e-09 -4.7426e-09 1.37476e-10 3.02987e-08 1.92776e-08 3.63488e-09
0.617 -4.00001 -4 2 0.75 -3.37167e-10 -9.22136e-10 9.43707e-10 -4.67628e-09 2.12025e-09 4.01727e-08 2.89697e-08 3.59209e-09
0.627 -4.00001 -4 2 0.75 -3.79504e-10 -3.90563e-10 8.75879e-10 -4.64753e-09 4.32812e-09 3.29679e-08 2.96544e-08 3.28791e-09
0.637 -4.00001 -4 2 0.75 -3.42439e-10 -6.83833e-11 8.45913e-10 -4.65642e-09 5.54661e-09 1.45189e-08 2.50078e-08 2.78867e-09
0.647 -4.00001 -4 2 0.75 -1.89202e-10 6.70858e-11 8.27873e-10 -4.67915e-09 6.39198e-09 -1.38299e-08 1.63789e-08 2.03688e-09
0.657 -4.00001 -4 2 0.75 1.41458e-10 -1.21192e-10 8.29457e-10 -4.68579e-09 6.97484e-09 -4.66996e-08 6.16911e-09 9.67895e-10
0.668 -4.00001 -4 2 0.75 5.21691e-10 -4.59211e-10 8.33818e-10 -4.64154e-09 7.83196e-09 -5.02145e-08 4.69926e-09 1.7544e-10
0.677 -4.00001 -4 2 0.75 8.31153e-10 -7.0929e-10 8.55341e-10 -4.56102e-09 8.55451e-09 -3.71266e-08 8.22324e-09 -5.00776e-10
0.687 -4.00001 -4 2 0.75 1.10401e-09 -8.00024e-10 8.76783e-10 -4.41664e-09 9.16047e-09 -9.63585e-09 1.64695e-08 -1.42879e-09
0.697 -4.00001 -4 2 0.75 1.21143e-09 -6.02024e-10 9.06798e-10 -4.27125e-09 9.47298e-09 2.07574e-08 2.49249e-08 -2.38038e-09
0.707 -4.00001 -4 2 0.75 1.17903e-09 -2.14019e-10 9.67601e-10 -4.14631e-09 1.01954e-08 3.57471e-08 2.08483e-08 -2.71159e-09
0.719 -4.00001 -4 2 0.75 9.67817e-10 1.81129e-10 1.07237e-09 -4.05172e-09 1.07748e-08 3.251e-08 -3.01015e-09 -2.35812e-09
0.727 -4.00001 -4 2 0.75 7.4384e-10 2.27675e-10 1.15478e-09 -4.02253e-09 9.98494e-09 1.47299e-08 -2.79703e-08 -2.10245e-09
0.737 -4.00001 -4 2 0.75 4.10372e-10 -1.15914e-10 1.2178e-09 -3.99511e-09 8.14296e-09 -1.59347e-08 -6.20639e-08 -1.86886e-09
0.747 -4.00001 -4 2 0.75 8.28132e-11 -7.53687e-10 1.21363e-09 -3.94782e-09 7.63232e-09 -2.83253e-08 -6.76758e-08 -1.5581e-09
0.757 -4.00001 -4 2 0.75 -1.67769e-10 -1.37181e-09 1.13953e-09 -3.8697e-09 7.81375e-09 -2.66245e-08 -5.25134e-08 -9.73238e-10
0.767 -4.00001 -4 2 0.75 -3.02477e-10 -1.79975e-09 1.01635e-09 -3.76717e-09 8.08017e-09 -1.75742e-08 -2.6839e-08 -1.69976e-10
0.777 -4.00001 -4 2 0.75 -2.94087e-10 -1.94172e-09 8.70287e-10 -3.64836e-09 8.23303e-09 -5.06203e-09 6.14262e-09 7.51715e-10
0.787 -4.00001 -4 2 0.75 -1.23671e-10 -1.74323e-09 7.16363e-10 -3.51995e-09 8.23331e-09 9.67331e-09 4.27404e-08 1.71828e-09
0.797 -4.00001 -4 2 0.75 1.70328e-10 -1.26253e-09 6.14197e-10 -3.41045e-09 8.31078e-09 2.14297e-08 7.14014e-08 2.45834e-09
0.807 -4.00001 -4 2 0.75 6.01895e-10 -5.07781e-10 5.72789e-10 -3.30381e-09 9.02871e-09 2.33763e-08 7.43855e-08 3.32966e-09
0.817 -4.00001 -4 2 0.75 9.51449e-10 8.29697e-11 6.29033e-10 -3.23905e-09 9.22425e-09 1.32646e-08 5.645e-08 4.07373e-09
0.827 -4.00001 -4 2 0.75 1.22044e-09 3.46022e-10 7.25848e-10 -3.19457e-09 8.09601e-09 -1.03907e-08 2.86902e-08 4.49763e-09
