t wx wy wz ax ay az
0.081 -0.17053 -0.0172486 -0.119304 -0.000354137 -0.00497488 13.0355
0.082 -0.170108 -0.0179531 -0.119935 -0.000351261 -0.004997 13.0317
0.083 -0.16969 -0.0186583 -0.120566 -0.000348447 -0.00501962 13.0278
0.084 -0.169277 -0.0193624 -0.121197 -0.000345683 -0.00504271 13.024
0.085 -0.16887 -0.0200684 -0.121829 -0.000342956 -0.00506624 13.0202
0.086 -0.168467 -0.0207723 -0.122463 -0.000340255 -0.00509017 13.0164
0.087 -0.168067 -0.0214795 -0.123097 -0.00033757 -0.00511445 13.0126
0.088 -0.167674 -0.0221868 -0.123732 -0.000334891 -0.00513904 13.0088
0.089 -0.167285 -0.022895 -0.12437 -0.000332212 -0.00516388 13.005
0.09 -0.1669 -0.023602 -0.125007 -0.000329527 -0.00518892 13.0012
0.091 -0.16652 -0.0243122 -0.125645 -0.000326833 -0.00521412 12.9974
0.092 -0.166143 -0.0250263 -0.126285 -0.000324128 -0.00523943 12.9936
0.093 -0.165769 -0.0257376 -0.126926 -0.000321414 -0.00526479 12.9899
0.094 -0.165398 -0.0264531 -0.127565 -0.000318694 -0.00529018 12.9861
0.095 -0.165028 -0.0271691 -0.128208 -0.000315973 -0.00531555 12.9823
0.096 -0.164656 -0.0278866 -0.12885 -0.000313256 -0.00534087 12.9786
0.097 -0.164287 -0.0286037 -0.129495 -0.000310549 -0.00536612 12.9748
0.098 -0.163914 -0.0293227 -0.130138 -0.000307862 -0.00539128 12.9711
0.099 -0.163538 -0.0300435 -0.130784 -0.000305203 -0.00541635 12.9674
0.1 -0.16316 -0.0307683 -0.13143 -0.000302584 -0.00544134 12.9636
0.101 -0.162778 -0.0314947 -0.132078 -0.000300014 -0.00546625 12.9599
0.102 -0.162389 -0.032222 -0.132725 -0.000297504 -0.00549108 12.9562
0.103 -0.161998 -0.0329508 -0.133373 -0.000295061 -0.00551587 12.9525
0.104 -0.161599 -0.033682 -0.134023 -0.000292694 -0.00554063 12.9488
0.105 -0.161195 -0.0344155 -0.134673 -0.000290411 -0.0055654 12.9451
0.106 -0.160784 -0.0351488 -0.135323 -0.000288214 -0.00559023 12.9414
0.107 -0.160366 -0.0358802 -0.135977 -0.000286109 -0.00561515 12.9377
0.108 -0.159941 -0.0366151 -0.136629 -0.000284097 -0.00564022 12.934
0.109 -0.159512 -0.0373503 -0.137282 -0.000282178 -0.00566549 12.9304
0.11 -0.159074 -0.0380847 -0.137938 -0.000280349 -0.00569101 12.9267
0.111 -0.158632 -0.0388196 -0.138596 -0.000278607 -0.00571683 12.923
0.112 -0.158185 -0.0395519 -0.139251 -0.000276945 -0.00574299 12.9194
0.113 -0.157734 -0.0402862 -0.139908 -0.000275357 -0.00576955 12.9157
0.114 -0.15728 -0.0410213 -0.140564 -0.000273833 -0.00579655 12.9121
0.115 -0.156824 -0.0417523 -0.141222 -0.000272363 -0.00582402 12.9084
0.116 -0.156369 -0.0424843 -0.141881 -0.000270936 -0.005852 12.9048
0.117 -0.155914 -0.0432151 -0.14254 -0.000269543 -0.00588051 12.9011
0.118 -0.155458 -0.043947 -0.143203 -0.000268175 -0.00590957 12.8975
0.119 -0.155005 -0.0446816 -0.143865 -0.000266823 -0.00593918 12.8939
0.12 -0.154555 -0.0454135 -0.144529 -0.000265475 -0.00596935 12.8903
0.121 -0.15411 -0.0461463 -0.145192 -0.000264121 -0.00600008 12.8867
0.122 -0.153668 -0.0468826 -0.145857 -0.000262751 -0.00603136 12.8831
0.123 -0.153232 -0.0476176 -0.146523 -0.00026136 -0.00606317 12.8795
0.124 -0.152803 -0.0483499 -0.147189 -0.000259944 -0.0060955 12.8759
0.125 -0.152381 -0.0490865 -0.147856 -0.000258501 -0.0061283 12.8723
0.126 -0.151968 -0.0498228 -0.148522 -0.00025703 -0.00616154 12.8687
0.127 -0.151561 -0.0505605 -0.149187 -0.000255533 -0.0061952 12.8651
0.128 -0.151159 -0.0512992 -0.149855 -0.000254013 -0.00622922 12.8615
0.129 -0.150765 -0.0520409 -0.150524 -0.000252478 -0.00626357 12.858
0.13 -0.150377 -0.052784 -0.151193 -0.000250935 -0.00629819 12.8544
0.131 -0.149999 -0.0535265 -0.151865 -0.000249394 -0.00633305 12.8508
0.132 -0.149626 -0.0542717 -0.152535 -0.000247867 -0.0063681 12.8473
0.133 -0.149259 -0.0550192 -0.153209 -0.000246367 -0.0064033 12.8437
0.134 -0.148897 -0.055767 -0.153883 -0.000244907 -0.0064386 12.8402
0.135 -0.14854 -0.0565161 -0.154557 -0.000243503 -0.00647397 12.8367
0.136 -0.148186 -0.0572654 -0.155233 -0.00024217 -0.00650939 12.8331
0.137 -0.147836 -0.0580165 -0.155907 -0.000240924 -0.00654482 12.8296
0.138 -0.147486 -0.0587689 -0.156584 -0.000239779 -0.00658026 12.8261
0.139 -0.147139 -0.0595186 -0.157262 -0.000238749 -0.00661568 12.8226
0.14 -0.146792 -0.0602707 -0.15794 -0.000237846 -0.00665107 12.819
0.141 -0.146444 -0.0610229 -0.158619 -0.000237068 -0.00668645 12.8157
0.142 -0.146097 -0.0617748 -0.1593 -0.000236447 -0.0067218 12.8122
0.143 -0.14575 -0.0625242 -0.159978 -0.000235977 -0.00675714 12.8086
0.144 -0.1454 -0.063272 -0.16066 -0.000235659 -0.00679249 12.8052
0.145 -0.145047 -0.064019 -0.161344 -0.000235494 -0.00682787 12.8017
