t wx wy wz ax ay az

0.0 -0.000806086 0.00789656 -0.00367128 -0.228306 -0.204431 9.75269
0.001 -0.0147697 -0.00489216 -0.000178941 -0.422355 -0.161968 9.93352
0.002 -0.00287235 -0.00257901 -0.00410264 -0.0856239 -0.142969 9.81258
0.003 -0.00750897 -0.00732236 0.00268734 -0.296614 -0.0322362 9.89155
0.004 -0.00563845 0.000378562 -0.00917935 -0.190191 -0.0699749 9.93111
0.005 -0.0063911 0.00442916 -0.00551924 -0.288852 0.0663851 9.99866
0.006 0.0275295 -0.00445684 0.00735834 -0.0572905 -0.175926 9.78253
0.007 0.0137345 0.00635312 -0.0007224 -0.27209 -0.177147 9.84347
0.008 0.00834821 0.00689828 0.00851721 -0.167553 -0.202722 9.75223
0.009 -0.00376322 0.00920273 -0.000731347 0.072176 -0.325916 10.0228
0.01 0.0024237 0.00983517 -0.0166396 -0.424441 -0.143092 9.87665
0.011 -0.00802508 0.00747966 0.00664221 -0.390312 -0.0866793 9.98127
0.012 -0.0296215 -0.00183538 -0.0140772 -0.217842 -0.105193 9.84883
0.013 -0.00502164 0.00443586 -0.000409058 -0.29294 -0.0621279 10.0204
0.014 0.00811495 -0.00563204 -0.0149692 -0.152787 -0.223906 10.2019
0.015 -0.0177378 0.016398 0.00820537 -0.319864 -0.25689 10.0057
0.016 -0.010302 0.0129418 0.00241284 -0.219382 -0.183614 9.71003
0.017 -0.0125731 0.00790064 -0.00357158 0.0362047 -0.165422 10.0394
0.018 0.00855808 -0.0167811 0.0121649 -0.218943 -0.273864 9.64064
0.019 -0.00940136 0.0118409 0.00464577 -0.0722239 0.0897135 9.87185
0.02 0.000820775 -0.000735875 0.0125106 -0.306755 0.0152729 9.97148
0.021 0.00159575 0.00830684 -0.00740289 -0.409283 -0.217705 9.98595
0.022 -0.00257317 0.00982866 -0.0110335 -0.563775 0.0266795 9.85316
0.023 0.0224987 0.0221507 0.0031045 -0.0927393 -0.219923 10.0178
0.024 -0.00624509 -0.0063963 -0.0142636 -0.288061 -0.0775003 9.84817
0.025 0.0141823 -0.0115742 -0.00478553 -0.17535 -0.286652 10.0356
0.026 0.0057504 0.01273 -0.00740254 -0.204218 -0.2153 9.92083
0.027 0.0192307 0.00183773 -0.000415027 -0.0939311 -0.280112 9.70239
0.028 -0.00270807 0.0115684 -0.00434168 -0.283567 -0.0937253 10.1292
0.029 0.0197394 -0.0125603 0.00593047 -0.196523 -0.0993567 9.70998
0.03 0.0069259 -0.0145916 0.00903025 -0.20971 -0.360593 9.96328
0.031 -0.0145373 0.000928969 -0.0103326 -0.0541945 0.0670309 9.96583
0.032 -0.027245 0.0123645 -0.00504341 -0.0729173 -0.220044 9.95152
0.033 -0.00639288 -0.00537758 0.0229054 -0.306099 -0.101356 10.0522
0.034 -0.0189467 0.00582282 -0.000925413 -0.403696 -0.191951 9.75275
0.035 -0.0256136 -0.00212243 0.0128806 -0.297829 -0.20867 9.626
0.036 0.00573237 0.0160768 0.00437905 -0.203776 -0.363057 9.90583
0.037 -0.00786222 0.000986614 0.00212588 -0.332689 -0.267733 10.023
0.038 0.0146817 -0.00121355 0.00134059 -0.191803 -0.358433 9.87254
0.039 0.000913981 0.0009575 0.00171809 -0.0318081 -0.0671141 9.87391
0.04 0.0103547 0.0214916 0.0126615 0.00991873 -0.218417 9.95659
0.041 0.00753199 0.017706 0.000853596 -0.56965 -0.316145 9.71575
0.042 -0.0129934 0.00819771 -0.0183688 -0.267729 -0.164529 9.69157
0.043 -0.00752933 0.00152766 -0.024604 0.0602024 -0.222053 9.96924
0.044 -0.00673138 -0.00666858 0.0105705 -0.153756 -0.103885 10.0743
0.045 0.010227 0.0218714 -0.00588978 -0.120519 0.0469824 9.84673
0.046 -0.00725253 0.0189928 -0.0107093 -0.153466 -0.263842 9.61192
0.047 -0.000684868 0.0111614 -0.0200738 -0.232698 -0.0725459 9.74933
0.048 0.00592698 0.0139773 0.0138248 -0.128308 -0.0242653 10.0369
0.049 0.0104211 0.00899747 0.0134766 -0.270381 -0.114105 9.73492
0.05 -0.00260456 0.00533263 0.00725641 -0.122977 -0.0480776 9.80869
0.051 -0.00371016 0.00377897 0.00341398 -0.256787 -0.0558764 9.74949
0.052 -0.0117357 0.0209588 0.0214458 -0.166157 -0.256076 10.0441
0.053 -0.00409468 0.0206099 0.00426332 -0.357153 -0.38365 9.86815
0.054 -0.027589 0.0089408 -0.0148647 -0.0537928 -0.202297 9.88243
0.055 -0.0147485 0.00622551 -0.0143517 -0.229886 -0.151808 9.88305
0.056 -0.0118253 0.0111607 0.00738007 -0.111816 -0.264466 9.641
0.057 -0.0149743 -0.0107396 0.00025624 -0.117558 -0.40414 9.71998
0.058 -0.0048948 0.0229252 -0.000525928 -0.656009 -0.325438 9.76496
0.059 0.0198371 0.00648187 0.000390185 -0.340657 -0.107182 10.0731
0.06 0.00215447 0.00382367 -0.0130741 -0.271877 -0.0276898 9.98799
0.061 -0.00740243 -0.00199781 -0.00260852 -0.202582 0.00454887 9.66851
0.062 0.00154097 0.00470463 0.00112097 -0.273087 -0.174722 9.82053
0.063 0.0105677 0.00277582 -0.00389071 -0.304381 -0.196357 9.88135
0.064 -0.00405697 0.00157829 -0.00431244 -0.100527 -0.195024 9.77411
0.065 -0.0056871 0.0124694 0.00792831 -0.274706 -0.268007 9.76666
0.066 -0.00858658 -0.0205938 0.00283872 -0.307628 -0.203245 9.92894
0.067 -0.0142776 -0.00271445 -0.00933467 -0.0971849 -0.124475 9.7451
0.068 -0.0111502 0.000546452 0.0164371 -0.274322 -0.158784 10.0562
0.069 0.00400143 -0.015963 -0.0128242 -0.370658 -0.209411 10.1674
0.07 0.00565938 -0.000796343 -0.0159202 -0.373827 -0.264512 9.87783
0.071 0.0116555 0.00767987 -0.00156589 -0.102846 -0.108995 9.97074
0.072 0.0133587 0.0091691 0.0145351 -0.310197 0.0195859 9.93738
0.074 0.00902977 -0.00672809 0.00334072 -0.0736732 -0.242716 9.94199
0.075 0.00150753 0.00557505 0.00693129 -0.231072 -0.0944047 9.8143
0.076 -0.0117084 0.0132019 -0.00582039 -0.224763 -0.0826252 9.97813
0.077 -0.00154393 0.00691455 0.00748406 0.0520359 -0.407076 9.77457
0.078 -0.00837365 -0.000442343 0.00547904 -0.305584 -0.327593 9.74088
0.079 0.00494829 0.0112587 0.000825312 -0.212227 -0.259671 10.0637
0.08 0.00638574 0.0205233 0.00748273 -0.273983 -0.391149 9.7131
0.081 -0.0298641 0.0108304 0.0024752 -0.216946 -0.275805 9.87748
0.083 -0.00819326 0.0103046 0.004673 -0.352546 -0.32534 9.78094
0.084 -0.00899549 -0.000183171 -0.0061495 -0.400828 -0.00930798 9.7495
0.085 -0.0114552 0.0128247 0.000378394 -0.123805 -0.285119 9.82112
0.086 0.0024435 -0.00751475 0.0230664 -0.280212 -0.146865 9.90443
0.087 -0.00153677 0.010759 -0.001884 -0.238157 -0.266345 9.93043
0.088 -0.00533432 0.0163209 0.00155302 -0.192804 -0.194769 9.74307
0.089 0.0198071 0.0150286 0.00551822 -0.246681 -0.13707 9.8388
0.09 0.0049457 0.0203857 -0.000596058 -0.374931 -0.116618 9.79378
0.091 -0.00580586 0.0151598 0.000769362 -0.068477 -0.191739 9.83879
0.092 0.0151094 -0.0067508 0.0161504 -0.324088 -0.232186 10.0846
0.093 -0.00678978 0.00467892 -0.00622843 -0.314768 -0.160863 9.90641
0.094 0.0122889 0.011868 -0.00473375 -0.0558986 -0.129704 9.90623
0.095 -0.0201487 0.000937089 -0.00416883 -0.137471 -0.432996 9.85031
0.096 0.00900366 0.0227298 0.00721524 -0.271734 -0.196747 9.65556
0.097 -0.0223231 0.0166094 -0.00288041 -0.0216529 -0.2906 9.78362
0.098 0.00656371 0.017491 0.0038655 0.0617809 -0.0912278 9.63613
0.099 -0.00955602 0.00484722 -0.00472453 -0.416966 -0.185758 9.88812
0.1 -0.00554724 0.00253354 -0.00828484 -0.178391 -0.0834862 10.0303
0.101 -0.00151257 -0.0111253 0.00278109 -0.0423662 -0.163695 10.0425
0.102 0.00999521 0.00965853 0.00444927 -0.286007 -0.184313 9.7526
0.103 -0.00822662 -0.0141407 -0.00471004 -0.396663 -0.298126 9.59613
0.104 -0.00513132 0.00532216 -0.0175537 -0.126824 -0.133633 9.8843
0.105 -0.00787301 0.0360708 -0.0217605 -0.341825 -0.142883 9.8675
0.106 -0.0144891 0.0102012 0.00808295 -0.187564 -0.208235 9.6065
0.107 -0.0107615 -0.00200085 0.00842437 -0.191279 -0.110962 9.83589
0.108 -0.0169832 0.00423797 -0.0227781 -0.26014 -0.101174 9.9323
0.109 0.00252479 -0.00595558 0.00364705 -0.148317 -0.372334 9.74741
0.11 -0.000583021 0.002244 -0.0279106 -0.117043 -0.180433 9.92366
0.111 -0.00638973 0.0234441 -0.0128306 -0.301196 0.0507219 9.80147
0.112 0.0150792 0.0117198 0.00357583 -0.0679721 -0.214519 9.86576
0.113 -0.00390172 0.00610112 -0.0182131 -0.361299 -0.0589703 9.97891
0.114 -0.00331503 0.00843199 -0.0140905 -0.242044 -0.0619399 9.9255
0.115 -0.00562881 0.00801975 -0.00990262 -0.414741 -0.361144 9.72684
0.116 0.0184168 0.00130408 0.0122876 -0.204807 -0.185079 9.80787
0.117 0.0254568 0.00374092 -0.00614872 -0.00504703 -0.373863 9.92011
0.118 0.0051399 0.00132043 0.00759853 -0.378371 -0.123219 9.76669
0.119 -0.00564803 0.00374301 -0.00379304 0.0171848 -0.150347 9.88089
0.12 0.00783045 0.00777782 -0.00213273 -0.397791 -0.0778058 9.91925
0.121 0.00761887 0.0193636 -0.000823852 -0.307053 -0.129533 10.0367
0.122 -0.0185787 0.00584827 0.017653 -0.117917 -0.187374 9.73734
0.123 -0.0147158 -0.00608614 0.00361872 -0.300583 0.0335706 9.89012
0.124 -0.0141649 0.00665174 -0.00832564 -0.345543 -0.157792 9.8462
0.125 0.00343875 0.00252214 0.0160417 -0.139807 -0.381174 9.9527
0.126 -0.000742712 0.0137979 -0.00465657 -0.384202 -0.315293 9.89112
0.127 0.00425509 0.0126896 0.0200107 -0.191299 -0.321783 9.74429
0.128 -0.00335916 1.00904e-05 0.00886763 -0.506338 -0.143962 9.82857
0.129 0.00732199 0.0255659 0.0215632 -0.151249 -0.25466 9.7805
0.13 0.0133402 0.0104312 -0.0121087 -0.298449 0.0047184 9.84404
0.131 0.0267215 0.0134444 0.00154556 -0.235388 -0.213296 10.0545
0.132 -0.0138879 -0.000168146 -0.0122848 -0.167073 -0.127935 9.90744
0.133 0.0107606 0.0208455 0.0119075 -0.120579 0.0293413 9.88577
0.134 -0.00952733 -0.00533889 -0.00493802 -0.242161 -0.275672 9.96904
0.135 0.0129583 -0.000649437 0.0134053 -0.069297 -0.204805 9.84161
0.136 0.0117923 0.0148348 -0.000507749 -0.320272 -0.244576 9.72405
0.137 -0.00320624 0.00398196 -0.00848749 -0.382407 -0.18526 9.8946
0.138 0.0143059 0.0116522 -0.00414911 -0.220223 -0.0176138 9.66705
0.139 -0.0219707 -0.00325811 0.00777145 -0.156833 -0.155265 9.85265
0.14 -0.01406 0.0321267 0.0113858 -0.206751 -0.153695 9.91468
0.141 0.00325118 0.0218372 -0.00591182 -0.359625 0.0893718 10.0861
0.142 -0.0106423 0.0103467 0.0056428 -0.0360541 -0.146936 9.83738
0.143 0.00696554 0.0169975 0.0104729 -0.369471 -0.236329 9.97015
0.144 -0.00159851 -0.00888832 0.00493981 -0.172192 -0.0395061 9.7739
0.145 0.0299132 0.00182752 -0.0269159 -0.123631 -0.302222 9.82088
0.146 -0.00973395 0.0113893 0.0104958 -0.327595 -0.279912 9.91814
0.147 0.00811167 0.0104461 0.0118095 -0.411642 -0.385953 9.69574
0.148 -0.0171677 0.00564579 -0.00944468 -0.322349 -0.173975 9.70147
0.149 0.0096584 0.0189028 -0.00197516 -0.377396 -0.427137 9.76932
0.15 0.000211434 0.000503004 -0.00400116 -0.246338 -0.168175 9.73937
0.151 0.0129498 -0.00315425 -0.00938978 -0.461152 -0.0230724 9.83488
0.152 -0.0160485 -0.00445579 0.00423121 -0.328518 -0.0959723 9.76666
0.153 -0.00610627 -0.00900046 -0.0176064 -0.211224 -0.292069 9.83228
0.154 0.00370248 0.00926748 -0.00952266 -0.329452 -0.0271686 9.95693
0.155 -0.00017101 -0.00507545 -0.00395637 -0.253468 -0.161817 9.97601
0.156 0.00438214 0.0095989 0.0271145 -0.292916 -0.162662 9.78411
0.157 -0.0197588 -0.00605065 -0.00331592 -0.203524 -0.218679 9.9507
0.158 0.0128502 0.0115428 -0.0136216 -0.0506501 -0.238016 9.9095
0.159 -0.000902805 0.0167656 -0.011511 -0.269836 0.000607793 9.87204
0.16 0.0168741 0.0044451 -0.0131597 -0.149518 -0.238328 9.88881
0.161 0.00916507 0.000765424 0.0108369 -0.160717 -0.024438 10.0406
0.162 -0.01407 0.00449794 -0.0053093 -0.296291 -0.0606092 9.97232
0.163 -0.00217555 -0.00922493 -0.000859837 -0.0999232 0.0222727 9.7858
0.164 0.0045241 0.0110922 -0.00624064 -0.46135 -0.357774 9.65268
0.165 -0.00276304 0.00143419 -0.0130098 -0.273207 -0.182846 9.63786
0.166 0.00993183 0.0141835 -0.00380528 -0.158003 -0.283922 9.76254
0.167 0.00419373 0.00564179 -0.0156244 -0.221813 -0.156934 9.87697
0.168 -0.00455015 0.0226141 0.00177529 -0.129807 -0.197989 9.70119
0.169 0.00365928 -0.0117112 0.00877682 -0.281224 -0.445915 10.0064
0.17 0.0056274 0.000219453 0.00793759 -0.0897003 -0.165449 9.84254
0.171 -0.0104269 0.000795363 0.00888024 -0.0251177 -0.00747265 9.6868
0.172 0.0028429 0.0335898 0.00080393 -0.209478 -0.102529 9.76062
0.173 -0.0119674 0.00142018 0.00509612 -0.23227 -0.0142393 10.0253
0.174 0.00262535 0.0022069 -0.00376134 -0.0711264 0.0924252 10.1416
0.175 -0.0159706 0.0222755 -0.0158554 -0.139628 -0.166858 9.79028
0.176 -0.012042 0.0134395 -0.00528064 -0.436634 -0.0265967 9.85584
0.177 -0.00874709 0.018924 0.0113275 -0.372396 -0.0683639 9.62768
0.178 0.0141792 0.00707143 -0.00544299 -0.0779925 -0.275316 9.99676
0.179 -0.00969319 0.0100162 0.00701181 -0.307247 -0.334224 9.74937
0.18 0.00672739 0.00876077 -0.00213618 -0.46964 -0.134635 9.93191
0.181 -0.00840198 -0.0132486 -0.00725816 -0.202674 -0.243782 9.89571
0.182 -0.0111863 0.0062422 0.000987902 -0.380869 -0.0803902 9.91379
0.183 0.007617 0.00789502 0.00943517 -0.445132 -0.0408901 9.86466
0.184 -0.0003307 0.00470137 0.00492898 -0.325859 -0.193156 9.95662
0.185 0.00321091 -0.000526658 0.0059729 -0.19585 -0.335499 9.99885
0.186 -0.00770785 0.00483583 0.0033373 -0.218982 -0.129727 9.74734
0.187 -0.00258301 0.00996448 -0.00280626 -0.225973 -0.346935 9.88704
0.188 -0.00915466 0.00814491 0.00561958 -0.307516 -0.0104615 9.74528
0.189 0.00778449 0.00335549 -0.0030477 -0.322807 -0.481279 9.85029
0.19 -0.00958625 0.0035693 0.00101646 -0.357368 -0.0289088 10.094
0.191 0.00749196 0.0100397 -0.0108827 -0.340804 -0.247077 9.56236
0.192 -0.0113139 -0.00679437 -0.00358885 -0.169759 -0.261971 9.72784
0.193 -0.00937757 -0.0204711 0.014201 -0.252881 -0.197355 9.75461
0.194 -0.000902823 0.00420015 -0.000372341 -0.541319 -0.0559749 9.6883
0.195 0.00112585 0.000562906 0.00076027 -0.261723 -0.294903 9.89503
0.196 -0.00862848 0.000161993 0.0232658 -0.340003 -0.00978914 9.90318
0.197 -0.0030109 0.00263394 -0.0062304 -0.285561 -0.265218 9.83478
0.198 -0.00470782 0.00166637 0.0163135 -0.232082 -0.194398 9.86286
0.199 -0.0161722 0.00785722 0.00811025 -0.340063 -0.178431 9.87432
0.2 -0.00631847 0.00413891 -0.00655866 -0.117504 -0.3431 9.78609
0.201 -0.00823218 -0.0106445 0.00340923 -0.134007 -0.265117 9.7709
0.202 0.009721 0.00203045 -0.0106903 -0.32245 -0.307672 9.7435
0.203 0.00953164 -0.00322081 0.00331531 -0.0473282 -0.169779 9.75172
0.204 -0.000964338 -0.0151655 -0.000325787 -0.198635 -0.165222 9.92214
0.205 -0.00437149 0.00908618 0.0129102 -0.359428 -0.242214 9.8321
0.206 -0.00590888 -0.00624413 0.00683426 -0.304377 -0.230032 9.73546
0.207 0.000430259 0.0123005 -0.0139697 -0.159198 -0.0766727 9.95266
0.208 -0.00439208 0.0318294 -6.39361e-05 -0.00714314 -0.326086 9.87183
0.209 -0.00684043 0.00382566 -0.00399506 -0.0309007 -0.229515 9.9168
0.21 -0.00298222 0.00712412 -0.0136387 -0.115238 -0.393881 9.95565
0.211 0.00838975 0.0163417 -0.00671287 -0.461568 -0.542915 9.67901
0.212 0.00815508 0.0173909 -0.00578632 -0.30531 -0.320655 9.72638
0.213 0.00246265 0.000161382 -0.0189107 -0.336382 -0.174323 9.85664
0.214 -0.0195678 0.011942 -0.0282231 -0.186618 -0.185757 10.0446
0.215 0.00454285 0.0281977 0.00674757 -0.12924 -0.33225 9.93047
0.216 0.00803634 0.00293448 0.0134631 -0.114679 -0.116208 9.97972
