x y z
-3.54965 -2.02729 1.49363
-3.54418 -2.017 1.49068
-3.53871 -2.00688 1.48777
-3.53322 -1.99693 1.4849
-3.52773 -1.98714 1.48206
-3.52223 -1.97752 1.47926
-3.51673 -1.96806 1.4765
-3.51122 -1.95876 1.47377
-3.50571 -1.94962 1.47108
-3.50019 -1.94065 1.46843
-3.49467 -1.93183 1.46581
-3.48915 -1.92317 1.46323
-3.48362 -1.91466 1.46068
-3.4781 -1.90631 1.45816
-3.47258 -1.89811 1.45568
-3.46705 -1.89005 1.45323
-3.46153 -1.88215 1.45082
-3.45601 -1.87438 1.44843
-3.4505 -1.86676 1.44608
-3.44498 -1.85928 1.44376
-3.43948 -1.85194 1.44146
-3.43397 -1.84473 1.4392
-3.42848 -1.83766 1.43697
-3.42299 -1.83071 1.43476
-3.41751 -1.8239 1.43258
-3.41203 -1.8172 1.43043
-3.40657 -1.81063 1.42831
-3.40112 -1.80418 1.42621
-3.39567 -1.79784 1.42413
-3.39024 -1.79162 1.42208
-3.38482 -1.7855 1.42005
-3.37941 -1.77949 1.41804
-3.37402 -1.77359 1.41606
-3.36864 -1.76778 1.4141
-3.36328 -1.76208 1.41215
-3.35793 -1.75646 1.41023
-3.3526 -1.75094 1.40832
-3.34728 -1.74551 1.40643
-3.34198 -1.74016 1.40456
-3.3367 -1.73489 1.4027
-3.33144 -1.72969 1.40086
-3.3262 -1.72457 1.39903
-3.32098 -1.71952 1.39722
-3.31577 -1.71454 1.39541
-3.31059 -1.70962 1.39362
-3.30543 -1.70477 1.39184
-3.30029 -1.69996 1.39007
-3.29518 -1.69522 1.38831
-3.29008 -1.69052 1.38656
-3.28501 -1.68587 1.38481
-3.27996 -1.68126 1.38307
-3.27493 -1.67669 1.38134
-3.26993 -1.67215 1.37961
-3.26495 -1.66765 1.37788
-3.26 -1.66318 1.37616
-3.25507 -1.65874 1.37444
-3.25017 -1.65431 1.37272
-3.24528 -1.64991 1.371
-3.24043 -1.64552 1.36929
-3.23559 -1.64114 1.36757
-3.23079 -1.63678 1.36585
-3.226 -1.63242 1.36413
-3.22124 -1.62806 1.36241
-3.21651 -1.6237 1.36068
-3.2118 -1.61934 1.35895
-3.20711 -1.61497 1.35721
-3.20244 -1.6106 1.35547
-3.1978 -1.60621 1.35372
-3.19318 -1.6018 1.35197
-3.18858 -1.59738 1.35021
-3.18401 -1.59294 1.34844
-3.17945 -1.58847 1.34666
-3.17492 -1.58398 1.34488
-3.17041 -1.57946 1.34309
-3.16591 -1.5749 1.34128
-3.16144 -1.57032 1.33947
-3.15698 -1.56569 1.33764
-3.15254 -1.56103 1.33581
-3.14811 -1.55632 1.33396
-3.1437 -1.55158 1.3321
-3.13931 -1.54678 1.33023
-3.13493 -1.54194 1.32835
-3.13056 -1.53705 1.32645
-3.1262 -1.53211 1.32454
-3.12185 -1.52711 1.32262
-3.11752 -1.52206 1.32068
-3.11319 -1.51695 1.31873
-3.10886 -1.51178 1.31677
-3.10454 -1.50656 1.31479
-3.10023 -1.50127 1.3128
-3.09592 -1.49591 1.31079
-3.09161 -1.49049 1.30877
-3.0873 -1.48501 1.30673
-3.08299 -1.47946 1.30468
-3.07867 -1.47384 1.30261
-3.07436 -1.46815 1.30053
-3.07003 -1.4624 1.29843
-3.0657 -1.45657 1.29632
-3.06136 -1.45067 1.29419
-3.057 -1.4447 1.29205
-3.05264 -1.43865 1.28989
-3.04826 -1.43253 1.28771
-3.04386 -1.42634 1.28552
-3.03945 -1.42007 1.28332
-3.03502 -1.41373 1.28109
-3.03056 -1.40732 1.27886
-3.02608 -1.40083 1.2766
-3.02158 -1.39426 1.27433
-3.01705 -1.38763 1.27205
-3.01249 -1.38091 1.26975
-3.0079 -1.37413 1.26743
-3.00328 -1.36727 1.2651
-2.99863 -1.36033 1.26276
-2.99393 -1.35333 1.2604
-2.9892 -1.34625 1.25802
-2.98443 -1.3391 1.25563
-2.97962 -1.33187 1.25322
-2.97477 -1.32458 1.2508
-2.96986 -1.31722 1.24836
-2.96491 -1.30979 1.24591
-2.95992 -1.3023 1.24345
-2.95487 -1.29473 1.24096
-2.94976 -1.28711 1.23847
-2.9446 -1.27941 1.23596
-2.93939 -1.27166 1.23343
-2.93411 -1.26384 1.23089
-2.92878 -1.25597 1.22834
-2.92338 -1.24803 1.22577
-2.91792 -1.24004 1.22318
-2.9124 -1.23199 1.22059
-2.9068 -1.22389 1.21797
-2.90114 -1.21574 1.21535
-2.8954 -1.20753 1.2127
-2.8896 -1.19928 1.21005
-2.88372 -1.19097 1.20738
-2.87776 -1.18263 1.20469
-2.87173 -1.17423 1.20199
-2.86562 -1.1658 1.19928
-2.85943 -1.15733 1.19655
-2.85316 -1.14882 1.19381
-2.8468 -1.14027 1.19105
-2.84037 -1.13169 1.18828
-2.83384 -1.12307 1.18549
-2.82724 -1.11442 1.18269
-2.82054 -1.10575 1.17987
-2.81376 -1.09705 1.17704
-2.80689 -1.08832 1.17419
-2.79992 -1.07958 1.17133
-2.79287 -1.07081 1.16845
-2.78573 -1.06202 1.16556
-2.77849 -1.05321 1.16265
-2.77116 -1.04439 1.15973
-2.76374 -1.03556 1.15679
-2.75622 -1.02672 1.15383
-2.74861 -1.01786 1.15086
-2.74091 -1.009 1.14788
-2.73311 -1.00014 1.14487
-2.72522 -0.991268 1.14186
-2.71723 -0.982396 1.13882
-2.70914 -0.973524 1.13577
-2.70096 -0.964654 1.1327
-2.69269 -0.955786 1.12962
-2.68432 -0.946924 1.12651
-2.67586 -0.938067 1.12339
-2.6673 -0.929219 1.12026
-2.65865 -0.920379 1.1171
-2.6499 -0.911551 1.11393
-2.64107 -0.902734 1.11075
-2.63214 -0.893931 1.10754
-2.62312 -0.885143 1.10431
-2.61402 -0.87637 1.10107
-2.60482 -0.867615 1.09781
-2.59554 -0.858877 1.09453
-2.58617 -0.850159 1.09124
-2.57671 -0.841461 1.08792
-2.56718 -0.832784 1.08458
-2.55755 -0.824129 1.08123
-2.54785 -0.815496 1.07786
-2.53807 -0.806887 1.07447
-2.52822 -0.798301 1.07106
-2.51828 -0.789741 1.06763
-2.50828 -0.781205 1.06418
-2.4982 -0.772695 1.06071
-2.48805 -0.764211 1.05722
-2.47783 -0.755753 1.05371
-2.46755 -0.747321 1.05018
-2.45721 -0.738917 1.04664
-2.44681 -0.730539 1.04307
-2.43634 -0.722188 1.03948
-2.42582 -0.713864 1.03587
-2.41525 -0.705567 1.03225
-2.40463 -0.697296 1.0286
-2.39396 -0.689053 1.02493
-2.38324 -0.680836 1.02124
-2.37249 -0.672645 1.01754
-2.36169 -0.66448 1.01381
-2.35085 -0.65634 1.01006
-2.33999 -0.648226 1.0063
-2.32909 -0.640136 1.00251
-2.31816 -0.632071 0.998701
-2.30721 -0.62403 0.994875
-2.29624 -0.616012 0.991029
-2.28525 -0.608016 0.987164
-2.27424 -0.600043 0.983279
-2.26323 -0.592091 0.979375
-2.2522 -0.58416 0.975452
-2.24117 -0.576249 0.97151
-2.23014 -0.568358 0.967549
-2.21911 -0.560486 0.963569
-2.20808 -0.552631 0.959572
-2.19706 -0.544794 0.955556
-2.18605 -0.536974 0.951522
-2.17506 -0.529169 0.94747
-2.16409 -0.52138 0.943401
-2.15313 -0.513605 0.939315
-2.14221 -0.505844 0.935211
-2.13131 -0.498096 0.931092
-2.12044 -0.490361 0.926956
-2.1096 -0.482637 0.922804
-2.09881 -0.474924 0.918636
-2.08805 -0.467221 0.914453
-2.07735 -0.459528 0.910256
-2.06668 -0.451844 0.906044
-2.05607 -0.444169 0.901818
-2.04552 -0.436502 0.897578
-2.03502 -0.428842 0.893325
-2.02458 -0.421189 0.88906
-2.01421 -0.413543 0.884782
-2.0039 -0.405903 0.880492
-1.99366 -0.398269 0.876191
-1.98349 -0.390641 0.87188
-1.9734 -0.383018 0.867558
-1.96339 -0.3754 0.863227
-1.95346 -0.367787 0.858886
-1.94361 -0.360178 0.854537
-1.93385 -0.352575 0.850181
-1.92418 -0.344976 0.845816
-1.91459 -0.337382 0.841446
-1.90511 -0.329793 0.837069
-1.89572 -0.322209 0.832687
-1.88642 -0.314631 0.8283
-1.87723 -0.307058 0.823909
-1.86814 -0.299491 0.819515
-1.85916 -0.291931 0.815118
-1.85028 -0.284377 0.81072
-1.84152 -0.276831 0.80632
-1.83286 -0.269293 0.80192
-1.82432 -0.261764 0.79752
-1.81589 -0.254244 0.793122
-1.80757 -0.246735 0.788725
-1.79938 -0.239237 0.784331
-1.79131 -0.23175 0.779941
-1.78335 -0.224277 0.775555
-1.77552 -0.216818 0.771174
-1.76781 -0.209375 0.7668
-1.76023 -0.201948 0.762432
-1.75277 -0.194538 0.758072
-1.74544 -0.187148 0.753721
-1.73823 -0.179778 0.749379
-1.73116 -0.17243 0.745048
-1.72421 -0.165105 0.740728
-1.7174 -0.157805 0.736421
-1.71071 -0.150532 0.732127
-1.70416 -0.143286 0.727846
-1.69774 -0.136071 0.723581
-1.69145 -0.128887 0.719332
-1.68529 -0.121736 0.7151
-1.67926 -0.114621 0.710886
-1.67337 -0.107543 0.70669
-1.66761 -0.100504 0.702515
-1.66198 -0.0935058 0.69836
-1.65648 -0.086551 0.694227
-1.65112 -0.0796414 0.690117
-1.64589 -0.0727791 0.686031
-1.64079 -0.0659662 0.68197
-1.63582 -0.0592049 0.677934
-1.63098 -0.0524974 0.673925
-1.62627 -0.0458459 0.669944
-1.62169 -0.0392527 0.665992
-1.61724 -0.0327199 0.66207
-1.61292 -0.02625 0.658178
-1.60873 -0.0198451 0.654319
-1.60466 -0.0135076 0.650492
-1.60071 -0.00723972 0.646699
-1.59689 -0.00104386 0.642942
-1.59319 0.0050777 0.63922
-1.58961 0.0111227 0.635535
-1.58615 0.0170887 0.631888
-1.58281 0.0229736 0.628281
-1.57959 0.0287749 0.624713
-1.57649 0.0344906 0.621187
-1.57349 0.0401183 0.617703
-1.57061 0.0456558 0.614262
-1.56784 0.051101 0.610865
-1.56518 0.0564516 0.607514
-1.56263 0.0617057 0.604208
-1.56018 0.066861 0.600951
-1.55784 0.0719156 0.597741
-1.55559 0.0768676 0.594581
-1.55345 0.0817149 0.591471
-1.5514 0.0864557 0.588413
-1.54945 0.0910881 0.585407
-1.54759 0.0956105 0.582455
-1.54582 0.100021 0.579557
-1.54414 0.104318 0.576715
-1.54255 0.108501 0.573929
-1.54104 0.112567 0.571201
-1.53961 0.116515 0.568531
-1.53826 0.120343 0.565921
-1.53699 0.124052 0.563371
-1.53579 0.127638 0.560882
-1.53466 0.131102 0.558456
-1.5336 0.134442 0.556093
-1.53261 0.137658 0.553795
-1.53168 0.140748 0.551561
-1.53082 0.143711 0.549394
-1.53001 0.146547 0.547294
-1.52927 0.149256 0.545261
-1.52857 0.151837 0.543298
-1.52793 0.154288 0.541403
-1.52734 0.156611 0.53958
-1.5268 0.158804 0.537827
-1.5263 0.160868 0.536146
-1.52584 0.162801 0.534539
-1.52543 0.164605 0.533004
-1.52506 0.166278 0.531544
-1.52472 0.167822 0.530158
-1.52442 0.169235 0.528848
-1.52415 0.170518 0.527613
-1.52391 0.171672 0.526455
-1.52371 0.172695 0.525374
-1.52353 0.173589 0.524371
-1.52338 0.174354 0.523445
-1.52326 0.174989 0.522598
-1.52317 0.175496 0.521829
-1.52309 0.175873 0.521138
-1.52305 0.176121 0.520527
