t wx wy wz ax ay az
0.083 -0.0152155 -0.00125016 0.00816072 -0.237195 -0.0485912 9.84769
0.084 -0.00530862 0.00688852 -0.00898041 -0.181777 -0.158494 10.0756
0.085 0.00321737 -0.00193413 -0.0155606 -0.301687 -0.0827724 9.8356
0.086 0.0257446 -0.0142723 -0.00730812 -0.345605 -0.186192 9.97298
0.087 0.00413146 0.0124802 0.0035229 -0.201764 -0.169096 9.94969
0.088 -0.000708395 0.0216008 -0.00894153 -0.188707 -0.118343 9.88151
0.089 -0.00460481 0.00493925 0.00217132 -0.180468 -0.30562 9.94064
0.09 0.0161174 0.019765 0.00229598 -0.12348 -0.147535 9.89659
0.091 -0.0314653 0.00152829 -0.0167689 -0.117929 0.0271216 10.1775
0.095 0.00510215 0.0360394 0.00798061 -0.254781 -0.298917 9.78817
0.096 -0.0027681 0.00066065 -0.0128539 -0.310155 -0.247687 9.93482
0.097 0.0132116 -0.00991454 -0.00351683 -0.455317 -0.137892 9.87944
0.098 0.0121625 0.0100572 -0.000787558 -0.241801 -0.188729 9.84588
0.099 0.00552159 0.0118178 -0.00728081 -0.296111 -0.0974407 9.87206
0.1 -0.0129583 -0.022637 -0.00549967 -0.0717605 0.0765593 9.7518
0.101 -0.0107687 0.010333 -0.0238273 0.0284633 -0.278001 9.68418
0.102 -0.0293886 0.0103092 0.00330802 -0.149264 -0.185472 9.83604
0.103 -0.00540841 0.00858973 0.00554044 -0.388287 -0.283754 9.94849
0.104 -0.0116751 -0.000712524 -0.00364665 -0.407303 -0.339794 9.91453
0.105 -0.00752365 0.003397 -0.00255211 -0.231912 -0.0896742 9.55558
0.106 0.00469001 0.0139398 -0.00248374 -0.138928 -0.228839 10.0615
0.107 -0.0151704 -0.0119058 0.0074511 -0.394883 -0.091667 9.79941
0.108 0.0022739 0.00741938 -0.000841559 0.0600636 -0.114912 9.6339
0.109 0.00617724 0.00235514 -0.000556673 -0.168163 0.0582306 9.6913
0.11 0.0164521 0.000140522 0.0103508 -0.128407 -0.220616 9.93425
0.111 -0.00503622 -0.00471857 -0.0093004 -0.200529 -0.14033 9.91696
0.116 0.0207953 0.0110845 -0.00359635 -0.169186 -0.079287 9.98229
0.117 -0.0216005 0.0012994 0.00209939 -0.220946 -0.0306561 9.74785
0.118 0.0124278 -0.000778678 0.0145514 -0.411317 -0.0885878 9.94156
0.119 0.00607364 -0.00868197 -0.00886456 -0.292369 -0.206911 10.0853
0.12 0.00487392 0.00036729 -0.000534246 -0.01895 -0.0952203 9.92138
0.121 -0.0230357 0.00977596 -0.00124424 -0.224127 -0.429025 9.7476
0.122 -0.00750435 0.00686313 -0.000868737 -0.277652 -0.259576 9.7522
0.123 0.000319202 0.0045499 -0.0131795 -0.0988442 0.0174955 9.92692
0.124 -0.0193971 0.0188013 0.00100618 -0.0344937 -0.385856 9.94568
0.125 -0.0125871 0.0149285 -0.0191532 -0.364669 -0.318952 10.065
0.126 -0.00229179 0.00373653 0.0140532 -0.0925491 -0.149999 9.94608
0.127 -0.00831086 0.00690769 0.00499298 -0.124826 -0.479471 9.89697
0.128 0.00388793 0.00614578 0.00776024 -0.156827 -0.202434 9.80779
0.129 -0.011497 0.0148734 -0.00492881 -0.195848 -0.140316 9.91131
0.13 0.000859629 0.00227742 -0.00716797 -0.275186 -0.175478 9.86851
0.131 0.00246742 0.00509349 0.00199866 -0.394467 -0.257083 9.992
0.132 0.0104589 0.00334551 -0.0116039 -0.329475 -0.162859 9.86798
0.133 -0.0102476 7.13055e-05 0.00855491 -0.166915 -0.0132719 9.89993
0.134 -0.00726588 -0.00840222 -0.02837 -0.436296 -0.338506 9.87316
0.135 0.00859587 -0.00372588 0.00233882 -0.416566 0.0430666 9.78825
0.136 0.00518197 0.0104928 -0.00640577 -0.189303 -0.307595 10.1474
0.137 -0.00194239 0.00387279 0.0127231 -0.143906 -0.0382301 9.93171
0.138 -0.0048428 0.00752489 0.0124581 -0.22798 -0.330659 9.85523
0.139 0.00642157 0.00710684 -0.0208326 -0.0812352 -0.126202 9.78385
0.14 0.00503387 0.00815807 0.0187294 -0.225203 -0.391125 9.91501
0.141 -0.0013749 0.0130324 -0.00346058 -0.220318 -0.122157 9.99986
0.142 0.000364208 0.00796181 -0.0111675 -0.128306 -0.277163 9.84525
0.143 0.0212834 0.0107344 -0.0173454 -0.0774727 -0.332936 9.97115
0.144 0.0067391 0.0200121 -0.0160875 -0.207018 -0.120694 9.81506
0.145 -0.023744 -0.000552626 -0.0186573 -0.0407059 -0.210831 9.97554
0.146 0.0109409 -0.00388928 0.0123405 -0.049237 -0.321932 9.92154
0.147 -0.0161456 0.00374058 -0.011105 -0.281118 -0.248261 9.99239
0.148 0.0139245 -0.00637199 -0.00513841 -0.608007 -0.12285 9.97326
0.149 -9.9623e-06 0.0173875 0.00473826 -0.102898 -0.038069 9.74925
0.15 -0.0029941 0.00426068 -0.0118326 -0.167987 -0.268878 9.76834
0.151 0.00948723 0.00344198 -0.00444164 -0.125986 -0.264497 10.0695
0.152 -0.00546875 -0.00487708 0.00688375 -0.271835 -0.210238 9.62975
0.153 -0.0139026 0.0170486 -0.000305861 -0.301743 -0.135966 10.0242
0.154 -0.00373484 0.0087149 -0.000193248 -0.450589 -0.185478 10.0305
0.155 -8.51251e-05 0.00956472 0.000463081 -0.54357 -0.406812 9.79912
0.156 0.017611 0.0134469 -0.0192711 -0.0546175 -0.208244 9.91701
0.157 -0.00990532 -0.014648 0.00867222 -0.334684 -0.233878 10.0008
0.158 0.00663129 0.0155122 0.00575243 -0.205057 -0.330109 10.0169
0.159 -0.00547049 -0.000987762 -0.0207168 -0.0712951 -0.361687 9.73145
0.16 0.0104081 0.00768216 0.0198829 -0.337265 -0.0988395 9.91631
0.161 -0.00366718 0.0212345 -0.00173787 -0.24714 -0.0785678 9.87471
0.162 -0.010601 0.00378061 0.0063702 -0.305489 0.0286035 9.76341
0.163 0.0115998 0.0111497 -0.00612015 -0.164554 -0.104915 9.64949
0.164 -0.0271254 0.00866316 -0.000608824 -0.376413 -0.289698 10.0819
0.165 -0.00811337 0.00326624 0.00706478 -0.0870638 -0.123723 9.64921
0.166 -0.0112169 -0.00346458 0.00776905 -0.263972 -0.309443 10.0315
0.167 -0.0193344 0.00413309 -0.00999396 -0.158093 -0.181183 9.88232
0.168 0.000433238 0.00413568 -0.0295561 -0.278754 -0.192733 9.75118
