x y z
-1.68942 -2.97359 1.78551
-1.67279 -2.96487 1.78456
-1.65621 -2.95617 1.78361
-1.63967 -2.94748 1.78266
-1.62318 -2.93881 1.78171
-1.60673 -2.93016 1.78076
-1.59033 -2.92153 1.77982
-1.57397 -2.91291 1.77887
-1.55765 -2.90432 1.77793
-1.54138 -2.89575 1.77698
-1.52516 -2.88721 1.77604
-1.50898 -2.87868 1.77509
-1.49285 -2.87019 1.77414
-1.47676 -2.86172 1.7732
-1.46072 -2.85327 1.77224
-1.44472 -2.84486 1.77129
-1.42878 -2.83647 1.77034
-1.41288 -2.82812 1.76938
-1.39702 -2.8198 1.76842
-1.38122 -2.81151 1.76745
-1.36546 -2.80325 1.76648
-1.34975 -2.79503 1.76551
-1.33409 -2.78684 1.76453
-1.31848 -2.77869 1.76355
-1.30291 -2.77058 1.76256
-1.2874 -2.7625 1.76157
-1.27193 -2.75447 1.76057
-1.25652 -2.74647 1.75957
-1.24115 -2.73852 1.75856
-1.22584 -2.73061 1.75754
-1.21057 -2.72274 1.75652
-1.19536 -2.71491 1.75549
-1.1802 -2.70713 1.75446
-1.16509 -2.69939 1.75342
-1.15003 -2.69169 1.75237
-1.13502 -2.68405 1.75131
-1.12007 -2.67645 1.75025
-1.10516 -2.6689 1.74918
-1.09031 -2.66139 1.7481
-1.07552 -2.65394 1.74702
-1.06078 -2.64653 1.74592
-1.04609 -2.63918 1.74482
-1.03146 -2.63187 1.74371
-1.01688 -2.62462 1.7426
-1.00235 -2.61741 1.74147
-0.987887 -2.61026 1.74034
-0.973474 -2.60316 1.7392
-0.959118 -2.59611 1.73805
-0.944817 -2.58912 1.73689
-0.930574 -2.58217 1.73572
-0.916387 -2.57528 1.73454
-0.902258 -2.56844 1.73336
-0.888186 -2.56166 1.73217
-0.874171 -2.55493 1.73097
-0.860215 -2.54825 1.72976
-0.846318 -2.54162 1.72854
-0.832479 -2.53505 1.72731
-0.818699 -2.52853 1.72607
-0.804978 -2.52206 1.72483
-0.791317 -2.51565 1.72357
-0.777715 -2.50929 1.72231
-0.764174 -2.50297 1.72104
-0.750692 -2.49672 1.71976
-0.737271 -2.49051 1.71847
-0.723911 -2.48435 1.71718
-0.710611 -2.47824 1.71587
-0.697372 -2.47219 1.71456
-0.684195 -2.46618 1.71323
-0.671079 -2.46022 1.7119
-0.658024 -2.45431 1.71056
-0.64503 -2.44845 1.70922
-0.632099 -2.44263 1.70786
-0.619229 -2.43686 1.70649
-0.60642 -2.43113 1.70512
-0.593674 -2.42545 1.70374
-0.58099 -2.41981 1.70235
-0.568367 -2.41421 1.70095
-0.555806 -2.40866 1.69955
-0.543308 -2.40314 1.69813
-0.53087 -2.39767 1.69671
-0.518495 -2.39223 1.69528
-0.506181 -2.38683 1.69384
-0.493929 -2.38146 1.6924
-0.481739 -2.37613 1.69094
-0.469609 -2.37083 1.68948
-0.45754 -2.36557 1.68801
-0.445533 -2.36033 1.68653
-0.433585 -2.35513 1.68505
-0.421699 -2.34995 1.68356
-0.409872 -2.3448 1.68205
-0.398104 -2.33967 1.68055
-0.386396 -2.33457 1.67903
-0.374747 -2.32949 1.6775
-0.363157 -2.32443 1.67597
-0.351624 -2.31939 1.67443
-0.340149 -2.31437 1.67289
-0.328732 -2.30937 1.67133
-0.31737 -2.30438 1.66977
-0.306065 -2.2994 1.6682
-0.294815 -2.29443 1.66662
-0.28362 -2.28948 1.66503
-0.272479 -2.28453 1.66344
-0.261392 -2.27959 1.66183
-0.250357 -2.27466 1.66022
-0.239374 -2.26972 1.6586
-0.228442 -2.2648 1.65698
-0.217561 -2.25987 1.65534
-0.206729 -2.25494 1.6537
-0.195945 -2.25001 1.65205
-0.185209 -2.24507 1.65039
-0.17452 -2.24013 1.64872
-0.163876 -2.23518 1.64705
-0.153277 -2.23022 1.64536
-0.142722 -2.22526 1.64367
-0.132208 -2.22028 1.64197
-0.121737 -2.21529 1.64026
-0.111305 -2.21028 1.63854
-0.100912 -2.20526 1.63681
-0.0905573 -2.20022 1.63507
-0.0802388 -2.19516 1.63333
-0.0699553 -2.19009 1.63157
-0.0597057 -2.18499 1.6298
-0.0494885 -2.17987 1.62803
-0.0393023 -2.17473 1.62624
-0.0291457 -2.16956 1.62444
-0.0190172 -2.16436 1.62264
-0.00891545 -2.15914 1.62082
0.0011612 -2.15389 1.619
0.0112143 -2.14861 1.61716
0.0212453 -2.14331 1.61531
0.0312559 -2.13797 1.61345
0.0412478 -2.1326 1.61158
0.0512225 -2.1272 1.6097
0.0611818 -2.12176 1.6078
0.0711273 -2.11629 1.6059
0.0810608 -2.11078 1.60398
0.0909841 -2.10524 1.60205
0.100899 -2.09967 1.6001
0.110807 -2.09406 1.59815
0.12071 -2.08841 1.59618
0.13061 -2.08272 1.59419
0.140509 -2.077 1.5922
0.150408 -2.07124 1.59019
0.16031 -2.06544 1.58816
0.170216 -2.0596 1.58613
0.180128 -2.05372 1.58407
0.190049 -2.04781 1.58201
0.199979 -2.04185 1.57992
0.209922 -2.03586 1.57782
0.219878 -2.02983 1.57571
0.22985 -2.02376 1.57358
0.23984 -2.01765 1.57143
0.249849 -2.01151 1.56927
0.259879 -2.00532 1.56709
0.269933 -1.9991 1.5649
0.280012 -1.99285 1.56268
0.290118 -1.98655 1.56045
0.300253 -1.98022 1.5582
0.310419 -1.97386 1.55593
0.320617 -1.96745 1.55365
0.330849 -1.96102 1.55134
0.341118 -1.95455 1.54902
0.351425 -1.94805 1.54667
0.361771 -1.94151 1.54431
0.372158 -1.93495 1.54193
0.382588 -1.92835 1.53953
0.393063 -1.92173 1.5371
0.403584 -1.91507 1.53466
0.414153 -1.90839 1.53219
0.42477 -1.90167 1.52971
0.435439 -1.89494 1.5272
0.446159 -1.88817 1.52467
0.456933 -1.88139 1.52212
0.467762 -1.87457 1.51954
0.478646 -1.86774 1.51694
0.489588 -1.86089 1.51432
0.500589 -1.85401 1.51168
0.511648 -1.84712 1.50902
0.522768 -1.84021 1.50633
0.53395 -1.83328 1.50361
0.545194 -1.82633 1.50087
0.556501 -1.81937 1.49811
0.567872 -1.8124 1.49532
0.579308 -1.80541 1.49251
0.590809 -1.79841 1.48968
0.602376 -1.7914 1.48682
0.61401 -1.78439 1.48393
0.62571 -1.77736 1.48102
0.637477 -1.77033 1.47808
0.649311 -1.76329 1.47512
0.661213 -1.75624 1.47213
0.673182 -1.74919 1.46911
0.685219 -1.74214 1.46607
0.697323 -1.73509 1.463
0.709495 -1.72803 1.45991
0.721733 -1.72097 1.45679
0.734038 -1.71392 1.45364
0.74641 -1.70687 1.45047
0.758847 -1.69982 1.44727
0.771348 -1.69277 1.44404
0.783915 -1.68573 1.44078
0.796544 -1.67869 1.4375
0.809237 -1.67165 1.43419
0.821991 -1.66463 1.43086
0.834805 -1.65761 1.42749
0.847679 -1.6506 1.4241
0.860611 -1.64359 1.42068
0.873599 -1.6366 1.41724
0.886644 -1.62961 1.41377
0.899741 -1.62264 1.41027
0.912892 -1.61567 1.40674
0.926092 -1.60872 1.40318
0.939342 -1.60177 1.3996
0.952638 -1.59484 1.39599
0.965979 -1.58792 1.39236
0.979363 -1.58101 1.3887
0.992788 -1.57411 1.38501
1.00625 -1.56722 1.38129
1.01975 -1.56034 1.37755
1.03328 -1.55348 1.37378
1.04685 -1.54663 1.36998
1.06044 -1.53979 1.36616
1.07406 -1.53296 1.36231
1.08771 -1.52614 1.35843
1.10138 -1.51934 1.35453
1.11506 -1.51254 1.35061
1.12876 -1.50576 1.34665
1.14247 -1.49898 1.34267
1.1562 -1.49222 1.33867
1.16993 -1.48546 1.33464
1.18366 -1.47871 1.33058
1.1974 -1.47197 1.3265
1.21113 -1.46524 1.32239
1.22486 -1.45852 1.31826
1.23858 -1.4518 1.31411
1.25229 -1.44509 1.30993
1.26599 -1.43838 1.30572
1.27967 -1.43167 1.30149
1.29332 -1.42497 1.29724
1.30696 -1.41827 1.29296
1.32056 -1.41158 1.28866
1.33414 -1.40488 1.28434
1.34768 -1.39818 1.27999
1.36119 -1.39148 1.27561
1.37465 -1.38478 1.27122
1.38807 -1.37808 1.2668
1.40145 -1.37137 1.26236
1.41477 -1.36465 1.2579
1.42805 -1.35793 1.25341
1.44126 -1.3512 1.2489
1.45442 -1.34446 1.24437
1.46752 -1.33771 1.23981
1.48055 -1.33095 1.23524
1.49351 -1.32418 1.23064
1.5064 -1.31739 1.22602
1.51922 -1.31059 1.22138
1.53196 -1.30377 1.21671
1.54462 -1.29693 1.21203
1.5572 -1.29008 1.20732
1.5697 -1.2832 1.20259
1.5821 -1.27631 1.19784
1.59442 -1.26939 1.19307
1.60664 -1.26244 1.18828
1.61877 -1.25548 1.18346
1.6308 -1.24848 1.17863
1.64273 -1.24146 1.17377
1.65456 -1.23441 1.16889
1.66629 -1.22733 1.164
1.67791 -1.22021 1.15908
1.68942 -1.21307 1.15414
1.70082 -1.20589 1.14918
1.71211 -1.19867 1.14419
1.72329 -1.19142 1.13919
1.73435 -1.18413 1.13417
1.7453 -1.1768 1.12912
1.75612 -1.16944 1.12405
1.76683 -1.16203 1.11897
1.77742 -1.15458 1.11386
1.78789 -1.14709 1.10873
1.79824 -1.13955 1.10358
1.80846 -1.13197 1.09841
1.81856 -1.12434 1.09321
1.82854 -1.11666 1.088
1.83839 -1.10894 1.08277
1.84812 -1.10117 1.07751
1.85772 -1.09335 1.07223
1.86719 -1.08548 1.06693
1.87654 -1.07755 1.06161
1.88576 -1.06958 1.05627
1.89486 -1.06155 1.05091
1.90383 -1.05347 1.04552
1.91268 -1.04533 1.04012
1.9214 -1.03714 1.03469
1.92999 -1.0289 1.02924
1.93847 -1.0206 1.02377
1.94682 -1.01224 1.01828
1.95504 -1.00383 1.01276
1.96315 -0.995355 1.00723
1.97114 -0.986827 1.00167
1.979 -0.978242 0.996096
1.98675 -0.969598 0.990497
1.99438 -0.960897 0.984876
2.0019 -0.952137 0.979235
2.0093 -0.94332 0.973572
2.01659 -0.934444 0.967889
2.02377 -0.925509 0.962184
2.03084 -0.916516 0.956459
2.0378 -0.907465 0.950713
2.04465 -0.898357 0.944947
2.05141 -0.88919 0.93916
2.05806 -0.879966 0.933354
2.06461 -0.870684 0.927528
2.07106 -0.861345 0.921682
2.07742 -0.85195 0.915817
2.08368 -0.842499 0.909933
2.08986 -0.832993 0.90403
2.09594 -0.823431 0.89811
2.10194 -0.813815 0.892171
2.10785 -0.804145 0.886215
2.11369 -0.794423 0.880242
2.11944 -0.784648 0.874252
2.12512 -0.774821 0.868246
2.13073 -0.764944 0.862224
2.13626 -0.755017 0.856188
2.14173 -0.745042 0.850136
2.14713 -0.735019 0.844071
2.15246 -0.724949 0.837993
2.15774 -0.714834 0.831902
2.16296 -0.704675 0.825799
2.16813 -0.694473 0.819685
