t x y z yaw pitch roll vx vy vz wx wy wz
0.31 -4.00001 -4 2 0.75 7.81094e-10 7.43069e-10 -1.63094e-10 -3.38321e-10 -1.02151e-09 -1.42702e-09 4.22071e-09 1.9497e-09
0.32 -4.00001 -4 2 0.75 7.38169e-10 6.04534e-10 -5.09298e-11 -3.40819e-10 -7.17248e-10 -1.18378e-08 -2.57909e-08 2.80652e-09
0.33 -4.00001 -4 2 0.75 5.80288e-10 2.46645e-10 3.77123e-11 -3.28173e-10 1.25799e-09 -1.75542e-08 -4.20545e-08 3.16372e-09
0.34 -4.00001 -4 2 0.75 3.70992e-10 -2.09488e-10 8.01397e-11 -2.99612e-10 4.25044e-09 -1.97859e-08 -4.84723e-08 3.38757e-09
0.35 -4.00001 -4 2 0.75 1.64204e-10 -6.47435e-10 8.81427e-11 -2.56277e-10 6.56754e-09 -1.57094e-08 -3.95714e-08 3.83964e-09
0.36 -4.00001 -4 2 0.75 3.66209e-11 -9.06154e-10 4.81309e-11 -1.98898e-10 7.91129e-09 -6.89073e-09 -2.18734e-08 4.32104e-09
0.37 -4.00001 -4 2 0.75 -8.70602e-11 -9.73327e-10 -2.79642e-11 -1.18587e-10 9.28814e-09 1.29147e-08 -5.53826e-09 4.20209e-09
0.38 -4.00001 -4 2 0.75 -2.53464e-10 -7.77698e-10 -9.90914e-11 -5.50237e-11 1.03168e-08 3.43557e-08 5.51735e-09 3.64732e-09
0.39 -4.00001 -4 2 0.75 -4.45257e-10 -4.73161e-10 -1.64212e-10 -3.17791e-11 1.14411e-08 3.3008e-08 6.24882e-09 3.04772e-09
0.4 -4.00001 -4 2 0.75 -5.81552e-10 -2.73343e-10 -2.06172e-10 -5.03743e-11 1.23573e-08 1.45298e-08 9.43287e-10 2.37204e-09
0.41 -4.00001 -4 2 0.75 -6.0699e-10 -3.01408e-10 -2.61366e-10 -8.09091e-11 1.29538e-08 -1.35761e-08 -8.05024e-09 1.55287e-09
0.42 -4.00001 -4 2 0.75 -5.14523e-10 -5.81822e-10 -3.25807e-10 -9.519e-11 1.35963e-08 -3.28099e-08 -1.42668e-08 6.17603e-10
0.43 -4.00001 -4 2 0.75 -4.04034e-10 -8.9942e-10 -4.05045e-10 -7.18439e-11 1.44479e-08 -2.63744e-08 -1.22833e-08 -2.09432e-10
0.44 -4.00001 -4 2 0.75 -3.56386e-10 -1.06103e-09 -4.92669e-10 -2.1972e-11 1.45393e-08 -3.28297e-09 -1.12874e-09 -8.73177e-10
0.45 -4.00001 -4 2 0.75 -3.70413e-10 -8.61265e-10 -5.80329e-10 3.31936e-11 1.30803e-08 3.26126e-08 2.55076e-08 -1.27431e-09
0.46 -4.00001 -4 2 0.75 -4.25243e-10 -2.68371e-10 -6.52758e-10 5.7535e-11 1.12321e-08 5.24757e-08 3.98294e-08 -1.51464e-09
0.47 -4.00001 -4 2 0.75 -4.98701e-10 3.09516e-10 -6.7837e-10 2.54158e-11 9.2907e-09 3.96365e-08 2.64483e-08 -1.75926e-09
0.48 -4.00001 -4 2 0.75 -5.77191e-10 5.59439e-10 -6.75303e-10 -5.14057e-11 6.76398e-09 8.42108e-09 -3.05599e-09 -1.83975e-09
0.492 -4.00001 -4 2 0.75 -6.68767e-10 2.32269e-10 -6.58639e-10 -1.53471e-10 3.26381e-09 -3.80944e-08 -4.68692e-08 -1.8314e-09
0.5 -4.00001 -4 2 0.75 -7.40267e-10 -5.75802e-10 -6.91058e-10 -2.04232e-10 5.41159e-10 -7.50288e-08 -7.96189e-08 -1.76615e-09
0.51 -4.00001 -4 2 0.75 -7.78955e-10 -1.77464e-09 -8.14597e-10 -1.83766e-10 -3.91104e-10 -9.01301e-08 -8.45476e-08 -1.41377e-09
0.52 -4.00001 -4 2 0.75 -7.24771e-10 -2.96399e-09 -1.02141e-09 -6.87951e-11 -4.36462e-10 -8.95233e-08 -6.86967e-08 -9.06923e-10
0.53 -4.00001 -4 2 0.75 -5.76253e-10 -3.85674e-09 -1.27148e-09 1.10867e-10 -8.93388e-10 -7.68719e-08 -4.35478e-08 -3.60358e-10
0.54 -4.00001 -4 2 0.75 -3.01999e-10 -4.5021e-09 -1.60785e-09 4.09913e-10 -2.90923e-09 -4.36742e-08 -1.84139e-09 1.41123e-10
0.55 -4.00001 -4 2 0.75 -8.70183e-12 -4.55401e-09 -1.92893e-09 7.33892e-10 -4.57088e-09 -7.78106e-09 3.12895e-08 1.28565e-10
0.56 -4.00001 -4 2 0.75 2.27921e-10 -4.17377e-09 -2.22067e-09 1.06731e-09 -5.21698e-09 2.76842e-08 5.17861e-08 -4.8071e-10
0.57 -4.00001 -4 2 0.75 3.72299e-10 -3.4574e-09 -2.45686e-09 1.37352e-09 -4.14126e-09 5.18847e-08 6.41303e-08 -1.00435e-09
0.58 -4.00001 -4 2 0.75 4.58159e-10 -2.66265e-09 -2.61592e-09 1.60179e-09 -1.7606e-09 6.21206e-08 6.89328e-08 -1.1941e-09
0.59 -4.00001 -4 2 0.75 5.35016e-10 -1.67014e-09 -2.71589e-09 1.8033e-09 2.34336e-10 5.61008e-08 6.11269e-08 -1.25346e-09
0.601 -4.00001 -4 2 0.75 5.95918e-10 -1.01942e-09 -2.75379e-09 1.92821e-09 -1.59197e-10 3.09655e-08 3.68215e-08 -1.28708e-09
0.61 -4.00001 -4 2 0.75 6.30772e-10 -7.60524e-10 -2.75376e-09 2.0233e-09 -7.84993e-10 6.34563e-09 6.44999e-09 -1.11308e-09
0.62 -4.00001 -4 2 0.75 5.86827e-10 -8.37727e-10 -2.74583e-09 2.10347e-09 -9.67177e-10 -9.97549e-09 -2.2524e-08 -5.73345e-10
0.631 -4.00001 -4 2 0.75 3.81812e-10 -1.33287e-09 -2.75928e-09 2.2211e-09 -3.97341e-10 -2.28857e-08 -4.96887e-08 2.93451e-10
