t wx wy wz ax ay az yaw pitch roll

0.0 -8.13737e-05 2.24638e-05 -4.36963e-05 -9.5442e-11 2.11256e-09 9.8066 -8.06176e-10 1.64526e-09 -5.76182e-10
0.001 -8.30018e-05 2.08626e-05 -4.40843e-05 -1.5068e-10 2.02422e-09 9.8066 -8.0852e-10 1.66165e-09 -4.67625e-10
0.002 -8.35364e-05 2.30258e-05 -4.26428e-05 -3.35515e-10 1.94576e-09 9.8066 -8.10829e-10 1.67752e-09 -3.57194e-10
0.003 -8.38166e-05 2.5511e-05 -4.14332e-05 -7.58199e-10 1.88258e-09 9.8066 -8.13101e-10 1.69286e-09 -2.45243e-10
0.004 -8.40367e-05 2.49289e-05 -4.07411e-05 -1.41749e-09 1.83437e-09 9.8066 -8.15333e-10 1.70759e-09 -1.32095e-10
0.005 -8.72635e-05 2.40658e-05 -4.15998e-05 -2.12596e-09 1.79201e-09 9.8066 -8.17521e-10 1.72165e-09 -1.80427e-11
0.006 -8.88371e-05 2.3309e-05 -4.22734e-05 -2.59262e-09 1.74227e-09 9.8066 -8.19664e-10 1.73494e-09 9.66343e-11
0.007 -8.8711e-05 2.26525e-05 -4.20191e-05 -2.63275e-09 1.67609e-09 9.8066 -8.21758e-10 1.74738e-09 2.11689e-10
0.008 -8.87349e-05 2.31459e-05 -4.03106e-05 -2.31802e-09 1.59463e-09 9.8066 -8.23801e-10 1.75893e-09 3.26885e-10
0.009 -8.84381e-05 2.37137e-05 -4.31608e-05 -1.88373e-09 1.50738e-09 9.8066 -8.25791e-10 1.76955e-09 4.41985e-10
0.01 -8.71289e-05 2.46143e-05 -4.25239e-05 -1.49282e-09 1.42261e-09 9.8066 -8.27725e-10 1.77921e-09 5.56783e-10
0.011 -8.57991e-05 2.30023e-05 -4.13902e-05 -1.17365e-09 1.34246e-09 9.8066 -8.29601e-10 1.78786e-09 6.7107e-10
0.013 -8.89861e-05 2.46077e-05 -4.37484e-05 -7.01947e-10 1.19452e-09 9.8066 -8.33171e-10 1.80204e-09 8.97392e-10
0.014 -8.97385e-05 2.43143e-05 -4.42832e-05 -5.28055e-10 1.12552e-09 9.8066 -8.34861e-10 1.80748e-09 1.00909e-09
0.015 -8.86219e-05 2.34046e-05 -4.40239e-05 -3.84692e-10 1.05927e-09 9.8066 -8.36485e-10 1.81179e-09 1.1196e-09
0.016 -8.88358e-05 2.33188e-05 -4.43374e-05 -2.65624e-10 9.95518e-10 9.8066 -8.38041e-10 1.81493e-09 1.22878e-09
0.017 -8.8321e-05 2.53624e-05 -4.32645e-05 -1.66168e-10 9.33713e-10 9.8066 -8.39528e-10 1.81686e-09 1.33651e-09
0.018 -9.01335e-05 2.5394e-05 -4.3102e-05 -8.23402e-11 8.73722e-10 9.8066 -8.40943e-10 1.81756e-09 1.44264e-09
0.019 -9.07724e-05 2.63565e-05 -4.32742e-05 -3.44983e-11 7.63508e-10 9.8066 -8.42291e-10 1.81708e-09 1.54691e-09
0.02 -8.97903e-05 2.43738e-05 -4.17783e-05 3.35207e-12 6.5452e-10 9.8066 -8.43572e-10 1.81546e-09 1.64903e-09
0.021 -8.82276e-05 2.3658e-05 -4.30273e-05 3.30041e-11 5.46497e-10 9.8066 -8.44791e-10 1.81274e-09 1.74875e-09
