x y z
2.26417 0.0162033 3.71732
2.28704 0.0166227 3.71494
2.30991 0.0170484 3.71255
2.33277 0.0174804 3.71018
2.35562 0.0179189 3.70781
2.37847 0.0183638 3.70544
2.40132 0.0188153 3.70308
2.42415 0.0192734 3.70072
2.44698 0.0197382 3.69836
2.4698 0.0202097 3.69601
2.49261 0.0206881 3.69367
2.51541 0.0211734 3.69132
2.5382 0.0216658 3.68898
2.56098 0.0221652 3.68665
2.58374 0.0226718 3.68431
2.6065 0.0231856 3.68198
2.62925 0.0237068 3.67965
2.65198 0.0242354 3.67733
2.67471 0.0247715 3.675
2.69742 0.0253152 3.67268
2.72012 0.0258665 3.67036
2.7428 0.0264257 3.66803
2.76548 0.0269927 3.66571
2.78814 0.0275677 3.66339
2.81079 0.0281507 3.66107
2.83343 0.0287418 3.65875
2.85606 0.0293412 3.65643
2.87867 0.029949 3.6541
2.90127 0.0305651 3.65178
2.92386 0.0311898 3.64945
2.94644 0.0318231 3.64712
2.96901 0.0324652 3.64479
2.99157 0.033116 3.64246
3.01412 0.0337758 3.64012
3.03666 0.0344446 3.63778
3.05918 0.0351226 3.63543
3.0817 0.0358097 3.63308
3.10421 0.0365062 3.63073
3.1267 0.0372122 3.62837
3.14919 0.0379276 3.626
3.17167 0.0386527 3.62363
3.19415 0.0393875 3.62126
3.21661 0.0401322 3.61887
3.23907 0.0408868 3.61648
3.26152 0.0416515 3.61408
3.28396 0.0424264 3.61168
3.3064 0.0432114 3.60926
3.32883 0.0440069 3.60684
3.35126 0.0448128 3.60441
3.37368 0.0456293 3.60197
3.39609 0.0464564 3.59952
3.4185 0.0472943 3.59706
3.44091 0.0481431 3.59459
3.46331 0.0490028 3.59211
3.48571 0.0498736 3.58962
3.50811 0.0507556 3.58711
3.53051 0.0516488 3.5846
3.5529 0.0525534 3.58207
3.57529 0.0534695 3.57953
3.59768 0.0543971 3.57698
3.62007 0.0553364 3.57441
3.64246 0.0562874 3.57183
3.66484 0.0572502 3.56924
3.68723 0.0582249 3.56663
3.70962 0.0592117 3.56401
3.73201 0.0602105 3.56137
