x y z
-1.91074 -3.20503 2.21634
-1.89786 -3.19806 2.21578
-1.88515 -3.19111 2.21516
-1.87263 -3.18419 2.21447
-1.86028 -3.1773 2.21373
-1.84812 -3.17043 2.21291
-1.83613 -3.16359 2.21204
-1.82433 -3.15677 2.2111
-1.8127 -3.14998 2.2101
-1.80125 -3.14322 2.20904
-1.78999 -3.13648 2.20791
-1.7789 -3.12977 2.20672
-1.76799 -3.12308 2.20547
-1.75726 -3.11643 2.20415
-1.74672 -3.1098 2.20278
-1.73635 -3.1032 2.20134
-1.72615 -3.09663 2.19984
-1.71614 -3.09008 2.19827
-1.7063 -3.08357 2.19665
-1.69663 -3.07708 2.19496
-1.68714 -3.07062 2.19321
-1.67783 -3.06419 2.1914
-1.66868 -3.05779 2.18953
-1.65971 -3.05141 2.18761
-1.6509 -3.04506 2.18562
-1.64227 -3.03874 2.18357
-1.6338 -3.03245 2.18146
-1.62549 -3.02619 2.1793
-1.61735 -3.01995 2.17707
-1.60937 -3.01375 2.17479
-1.60155 -3.00757 2.17245
-1.59389 -3.00141 2.17006
-1.58638 -2.99529 2.16761
-1.57903 -2.98919 2.1651
-1.57183 -2.98311 2.16254
-1.56478 -2.97707 2.15992
-1.55788 -2.97105 2.15725
-1.55112 -2.96505 2.15453
-1.54451 -2.95908 2.15175
-1.53804 -2.95314 2.14892
-1.5317 -2.94722 2.14604
-1.5255 -2.94133 2.14311
-1.51943 -2.93546 2.14013
-1.5135 -2.92961 2.1371
-1.50769 -2.92379 2.13402
-1.502 -2.91799 2.1309
-1.49644 -2.91221 2.12772
-1.491 -2.90646 2.1245
-1.48567 -2.90073 2.12124
-1.48046 -2.89501 2.11793
-1.47536 -2.88932 2.11458
-1.47036 -2.88366 2.11118
-1.46547 -2.87801 2.10774
-1.46068 -2.87238 2.10426
-1.45599 -2.86677 2.10074
-1.45139 -2.86118 2.09718
-1.44689 -2.8556 2.09358
-1.44247 -2.85005 2.08994
-1.43814 -2.84451 2.08627
-1.43389 -2.83899 2.08255
-1.42973 -2.83348 2.07881
-1.42563 -2.82799 2.07503
-1.42161 -2.82252 2.07121
-1.41766 -2.81706 2.06737
-1.41377 -2.81161 2.06349
-1.40995 -2.80618 2.05958
-1.40619 -2.80076 2.05564
-1.40248 -2.79535 2.05167
-1.39882 -2.78996 2.04768
-1.39521 -2.78457 2.04366
-1.39165 -2.7792 2.03961
-1.38813 -2.77383 2.03554
-1.38465 -2.76848 2.03144
-1.3812 -2.76314 2.02732
-1.37779 -2.7578 2.02318
-1.3744 -2.75247 2.01902
-1.37104 -2.74715 2.01484
-1.3677 -2.74184 2.01064
-1.36438 -2.73653 2.00642
-1.36108 -2.73123 2.00219
-1.35778 -2.72593 1.99794
-1.3545 -2.72064 1.99367
-1.35122 -2.71536 1.98939
-1.34794 -2.71007 1.9851
-1.34467 -2.70479 1.9808
-1.34138 -2.69951 1.97648
-1.33809 -2.69424 1.97216
-1.33479 -2.68896 1.96782
-1.33148 -2.68369 1.96348
-1.32815 -2.67842 1.95914
-1.3248 -2.67315 1.95478
-1.32142 -2.66787 1.95043
-1.31802 -2.6626 1.94607
-1.31459 -2.65732 1.9417
-1.31113 -2.65204 1.93734
-1.30764 -2.64677 1.93297
-1.30411 -2.64148 1.9286
-1.30053 -2.6362 1.92424
-1.29692 -2.63091 1.91987
-1.29325 -2.62561 1.91551
-1.28954 -2.62032 1.91116
-1.28578 -2.61501 1.90681
-1.28197 -2.60971 1.90246
-1.2781 -2.60439 1.89813
-1.27417 -2.59907 1.8938
-1.27018 -2.59375 1.88947
-1.26613 -2.58841 1.88516
-1.26201 -2.58307 1.88086
-1.25782 -2.57773 1.87657
-1.25357 -2.57237 1.8723
-1.24924 -2.56701 1.86803
-1.24484 -2.56164 1.86378
-1.24036 -2.55626 1.85955
-1.2358 -2.55087 1.85533
-1.23117 -2.54547 1.85113
-1.22645 -2.54007 1.84694
-1.22165 -2.53465 1.84278
-1.21677 -2.52923 1.83863
-1.21179 -2.52379 1.8345
-1.20673 -2.51834 1.8304
-1.20158 -2.51289 1.82631
-1.19634 -2.50742 1.82225
-1.19101 -2.50195 1.81821
-1.18558 -2.49646 1.8142
-1.18006 -2.49096 1.8102
-1.17444 -2.48545 1.80624
-1.16873 -2.47993 1.8023
-1.16291 -2.4744 1.79839
-1.157 -2.46886 1.7945
-1.15099 -2.46331 1.79064
-1.14487 -2.45774 1.78681
-1.13866 -2.45217 1.78301
-1.13234 -2.44658 1.77924
-1.12592 -2.44099 1.7755
-1.1194 -2.43538 1.7718
-1.11277 -2.42976 1.76812
-1.10603 -2.42413 1.76448
-1.0992 -2.41849 1.76086
-1.09225 -2.41284 1.75729
-1.08521 -2.40717 1.75374
-1.07805 -2.4015 1.75023
-1.07079 -2.39582 1.74676
-1.06343 -2.39012 1.74332
-1.05596 -2.38442 1.73992
-1.04838 -2.37871 1.73655
-1.0407 -2.37298 1.73322
-1.03291 -2.36725 1.72993
-1.02502 -2.36151 1.72667
-1.01703 -2.35576 1.72345
-1.00893 -2.35 1.72027
-1.00072 -2.34423 1.71714
-0.992418 -2.33845 1.71403
-0.984009 -2.33266 1.71097
-0.975499 -2.32687 1.70795
-0.966887 -2.32107 1.70497
-0.958175 -2.31526 1.70203
-0.949363 -2.30944 1.69913
-0.940453 -2.30362 1.69627
-0.931444 -2.29779 1.69345
-0.922339 -2.29196 1.69068
