t wx wy wz ax ay az
0.08 0.00875825 0.00177293 -0.00431718 -0.237025 -0.140878 9.95531
0.081 0.0112992 0.000660377 -0.000234128 -0.159366 -0.163661 9.67557
0.082 -0.02124 0.0164302 -0.0112453 -0.222577 0.078479 9.8596
0.083 0.00188694 -0.00189661 -0.0108062 -0.208032 -0.0831124 10.1343
0.084 -0.00926999 0.0171584 0.00945416 -0.16109 -0.141436 9.95728
0.085 -0.00705447 0.00625025 0.00446909 -0.0697417 -0.0184145 10.0607
0.086 -0.00877448 0.000411673 -0.00259089 -0.239352 -0.312356 9.87517
0.087 0.0107287 0.00778288 0.00295704 -0.31222 -0.171836 9.64153
0.088 -0.0131616 0.0181739 -0.0042586 -0.11349 -0.0151362 9.96529
0.089 -0.0217454 -0.015319 -0.00836267 -0.0977115 -0.131193 9.79999
0.09 -0.0138709 0.00487289 -0.0158662 -0.23795 -0.202416 9.9051
0.091 -0.00406772 0.00949141 0.0132708 -0.129892 -0.366407 9.93419
0.092 -0.000874303 0.0135581 -0.019602 -0.225689 -0.195625 10.1489
0.093 0.0127947 0.0162025 -0.0123358 -0.165405 0.0114701 10.0753
0.094 -0.0153352 0.00867817 -0.00296466 -0.323882 -0.325969 9.67961
0.095 -0.00121351 -0.000741163 -0.00694544 -0.164321 -0.304775 9.87184
0.096 -0.00683274 -0.000379816 -0.00643986 -0.303045 -0.276456 9.79178
0.097 -0.00958405 0.00747696 -0.0121178 -0.348213 -0.0476436 9.91599
0.098 0.00555962 -0.00519409 -0.0163986 -0.30694 -0.23469 10.1206
0.099 0.00893629 0.0039254 -0.00810837 -0.341053 -0.0112326 9.90901
0.1 0.00580039 0.0206592 -0.00151541 -0.199434 -0.272162 10.1602
0.101 -0.00473916 -0.00202262 -0.0116089 -0.322846 -0.103493 9.92288
0.102 -0.00674726 0.00591464 -0.010807 -0.0681288 -0.323869 9.95694
0.103 -0.00377034 0.0203875 -0.00433422 -0.355445 -0.0626356 9.94769
0.104 0.0118499 -0.00436343 0.00458138 -0.355176 -0.204927 10.1081
0.105 0.00795549 0.0199802 0.000576898 -0.335473 -0.154866 9.79469
0.106 0.0135177 -0.00455449 -0.0231284 -0.266549 -0.135161 9.92571
0.107 0.0212443 -0.00214163 0.0129836 -0.0616803 -0.191617 9.78485
0.108 0.0124673 -0.007815 0.025296 -0.267361 -0.292581 9.74604
0.109 0.00755031 -0.0195438 -0.0126169 -0.358019 -0.20295 9.8358
